conversation_id,message_count,thread_type,has_branching,has_anomalies,quality_status
conv_AppleSupport_2726987,2,customer_brand,False,False,high
conv_AppleSupport_2726989,2,customer_brand,False,False,high
conv_AppleSupport_2726991,2,customer_brand,False,False,high
conv_AppleSupport_2726993,2,customer_brand,False,False,high
conv_AppleSupport_2726996,6,multi_turn,False,False,high
conv_AppleSupport_2727001,2,customer_brand,False,False,high
conv_AppleSupport_2727004,3,multi_turn,False,False,high
conv_AppleSupport_2727007,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2727010,2,customer_brand,False,False,high
conv_AppleSupport_2727012,2,customer_brand,False,True,medium
conv_AppleSupport_2727018,5,multi_turn,False,False,high
conv_AppleSupport_2727020,2,customer_brand,False,False,high
conv_AppleSupport_2727022,2,customer_brand,False,False,high
conv_AppleSupport_2727024,2,customer_brand,False,False,high
conv_AppleSupport_2727027,3,customer_brand_customer,False,False,high
conv_AppleSupport_2727030,8,multi_turn,False,False,high
conv_AppleSupport_2727037,2,customer_brand,False,False,high
conv_AppleSupport_2727039,2,customer_brand,False,False,high
conv_AppleSupport_2727043,4,multi_turn,False,False,high
conv_AppleSupport_2727046,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2727050,3,customer_brand_customer,False,False,high
conv_AppleSupport_2727059,9,multi_turn,False,False,high
conv_AppleSupport_2727061,2,customer_brand,False,False,high
conv_AppleSupport_2727063,2,customer_brand,False,False,high
conv_AppleSupport_2727083,5,branched,True,False,high
conv_AppleSupport_2727087,9,multi_turn,False,False,high
conv_AppleSupport_2727096,3,incomplete,False,True,low
conv_AppleSupport_2727099,2,customer_brand,False,False,high
conv_AppleSupport_2727101,2,customer_brand,False,False,high
conv_AppleSupport_2727104,3,customer_brand_customer,False,False,high
conv_AppleSupport_2727107,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2727110,2,customer_brand,False,False,high
conv_AppleSupport_2727112,2,customer_brand,False,False,high
conv_AppleSupport_2727114,2,customer_brand,False,False,high
conv_AppleSupport_2727117,6,multi_turn,False,False,high
conv_AppleSupport_2727122,2,customer_brand,False,False,high
conv_AppleSupport_2727125,6,branched,True,False,high
conv_AppleSupport_2727131,3,customer_brand_customer,False,False,high
conv_AppleSupport_2727134,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2727137,2,customer_brand,False,False,high
conv_AppleSupport_2727139,2,customer_brand,False,False,high
conv_AppleSupport_2727141,2,customer_brand,False,False,high
conv_AppleSupport_2727816,2,customer_brand,False,False,high
conv_AppleSupport_2728075,2,customer_brand,False,False,high
conv_AppleSupport_2728077,2,customer_brand,False,False,high
conv_AppleSupport_2728079,2,customer_brand,False,False,high
conv_AppleSupport_2728082,5,multi_turn,False,False,high
conv_AppleSupport_2728086,2,customer_brand,False,False,high
conv_AppleSupport_2728088,2,customer_brand,False,False,high
conv_AppleSupport_2728091,6,multi_turn,False,False,high
conv_AppleSupport_2728096,2,customer_brand,False,False,high
conv_AppleSupport_2728099,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2728102,2,customer_brand,False,False,high
conv_AppleSupport_2728104,2,customer_brand,False,True,medium
conv_AppleSupport_2728108,2,customer_brand,False,False,high
conv_AppleSupport_2728110,2,customer_brand,False,False,high
conv_AppleSupport_2728116,2,customer_brand,False,False,high
conv_AppleSupport_2728118,2,customer_brand,False,False,high
conv_AppleSupport_2728120,2,customer_brand,False,False,high
conv_AppleSupport_2728122,2,customer_brand,False,False,high
conv_AppleSupport_2728124,2,customer_brand,False,False,high
conv_AppleSupport_2728127,3,customer_brand_customer,False,False,high
conv_AppleSupport_2728129,2,customer_brand,False,False,high
conv_AppleSupport_2728132,3,customer_brand_customer,False,False,high
conv_AppleSupport_2728134,2,customer_brand,False,False,high
conv_AppleSupport_2728136,2,customer_brand,False,False,high
conv_AppleSupport_2728139,3,multi_turn,False,False,high
conv_AppleSupport_2728141,2,customer_brand,False,False,high
conv_AppleSupport_2728149,8,multi_turn,False,False,high
conv_AppleSupport_2728152,7,multi_turn,False,False,high
conv_AppleSupport_2728159,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2728162,2,customer_brand,False,False,high
conv_AppleSupport_2728164,2,customer_brand,False,False,high
conv_AppleSupport_2728166,2,customer_brand,False,False,high
conv_AppleSupport_2728168,2,customer_brand,False,False,high
conv_AppleSupport_2728170,2,customer_brand,False,False,high
conv_AppleSupport_2728172,2,customer_brand,False,False,high
conv_AppleSupport_2728174,2,customer_brand,False,True,medium
conv_AppleSupport_2728178,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2728182,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2728186,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2728189,2,customer_brand,False,False,high
conv_AppleSupport_2728191,2,customer_brand,False,False,high
conv_AppleSupport_2728193,2,customer_brand,False,False,high
conv_AppleSupport_2728196,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2728200,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2728203,2,customer_brand,False,False,high
conv_AppleSupport_2728207,7,branched,True,False,high
conv_AppleSupport_2728213,8,multi_turn,False,False,high
conv_AppleSupport_2728221,3,customer_brand_customer,False,False,high
conv_AppleSupport_2728223,2,customer_brand,False,True,medium
conv_AppleSupport_2728226,2,customer_brand,False,False,high
conv_AppleSupport_2728228,2,customer_brand,False,False,high
conv_AppleSupport_2728230,2,customer_brand,False,False,high
conv_AppleSupport_2728232,2,customer_brand,False,True,medium
conv_AppleSupport_2728235,2,customer_brand,False,False,high
conv_AppleSupport_2728237,2,customer_brand,False,False,high
conv_AppleSupport_2728240,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2728243,2,customer_brand,False,False,high
conv_AppleSupport_2728245,2,customer_brand,False,False,high
conv_AppleSupport_2728248,5,multi_turn,False,False,high
conv_AppleSupport_2728253,10,multi_turn,False,False,high
conv_AppleSupport_2728263,6,multi_turn,False,False,high
conv_AppleSupport_2728268,2,customer_brand,False,False,high
conv_AppleSupport_2728270,2,customer_brand,False,False,high
conv_AppleSupport_2728273,3,customer_brand_customer,False,False,high
conv_AppleSupport_2728275,2,customer_brand,False,True,medium
conv_AppleSupport_2728279,3,customer_brand_customer,False,False,high
conv_AppleSupport_2728282,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2728286,8,multi_turn,False,False,high
conv_AppleSupport_2728293,2,customer_brand,False,False,high
conv_AppleSupport_2728295,2,customer_brand,False,False,high
conv_AppleSupport_2728298,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2728301,2,customer_brand,False,False,high
conv_AppleSupport_2728303,2,customer_brand,False,False,high
conv_AppleSupport_2728308,3,multi_turn,False,True,medium
conv_AppleSupport_2728577,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2728997,2,customer_brand,False,False,high
conv_AppleSupport_2728999,2,customer_brand,False,False,high
conv_AppleSupport_2729001,2,customer_brand,False,True,medium
conv_AppleSupport_2729004,2,customer_brand,False,False,high
conv_AppleSupport_2729006,2,customer_brand,False,False,high
conv_AppleSupport_2729008,2,customer_brand,False,False,high
conv_AppleSupport_2729010,2,customer_brand,False,False,high
conv_AppleSupport_2729012,2,customer_brand,False,False,high
conv_AppleSupport_2729014,2,customer_brand,False,False,high
conv_AppleSupport_2729016,2,customer_brand,False,False,high
conv_AppleSupport_2729020,5,multi_turn,False,False,high
conv_AppleSupport_2729024,2,customer_brand,False,True,medium
conv_AppleSupport_2729028,8,multi_turn,False,False,high
conv_AppleSupport_2729036,3,multi_turn,False,False,high
conv_AppleSupport_2729038,2,customer_brand,False,False,high
conv_AppleSupport_2729041,3,customer_brand_customer,False,False,high
conv_AppleSupport_2729044,3,customer_brand_customer,False,False,high
conv_AppleSupport_2729047,3,multi_turn,False,False,high
conv_AppleSupport_2729049,2,customer_brand,False,False,high
conv_AppleSupport_2729051,2,customer_brand,False,False,high
conv_AppleSupport_2729053,2,customer_brand,False,False,high
conv_AppleSupport_2729055,2,customer_brand,False,False,high
conv_AppleSupport_2729058,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2729061,2,customer_brand,False,False,high
conv_AppleSupport_2729064,3,multi_turn,False,False,high
conv_AppleSupport_2729067,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2729074,2,customer_brand,False,False,high
conv_AppleSupport_2729076,2,customer_brand,False,False,high
conv_AppleSupport_2729079,7,branched,True,False,high
conv_AppleSupport_2729085,2,customer_brand,False,True,medium
conv_AppleSupport_2729088,2,customer_brand,False,False,high
conv_AppleSupport_2729090,2,customer_brand,False,False,high
conv_AppleSupport_2729092,2,customer_brand,False,False,high
conv_AppleSupport_2729095,8,multi_turn,False,False,high
conv_AppleSupport_2729102,2,customer_brand,False,False,high
conv_AppleSupport_2729104,2,customer_brand,False,False,high
conv_AppleSupport_2729106,2,customer_brand,False,False,high
conv_AppleSupport_2729108,2,customer_brand,False,False,high
conv_AppleSupport_2729111,6,multi_turn,False,False,high
